"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"
"Vilaplana"	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455834499"	"Villaplana"			"hamlet"				"22143001199"
	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455832900"	"Ardanué"			"isolated_dwelling"				"22143000399"
	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455833632"	"Nerill"			"hamlet"				"22143000901"
	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455834424"	"Suils"	"Q13050248"	"es:Suils"	"hamlet"				"22143001001"
	"Franja"	"Ribagorça"	"Les Paüls"	"node"	"1455834505"	"Villarrué"	"Q13050442"	"ca:Vilarrué"	"hamlet"				"22143001201"
"Monesma"	"Franja"	"Ribagorça"	"Monesma i Queixigar"	"node"	"1455833523"	"Monesma"	"Q13049626"	"es:Monesma"	"hamlet"				"22155000200"
"Noguero"	"Franja"	"Ribagorça"	"Monesma i Queixigar"	"node"	"6413624223"	"Noguero"	"Q13049707"	"ca:Noguero"	"hamlet"				"22155000201"
"Aneto"	"Franja"	"Ribagorça"	"Montanui"	"node"	"255547364"	"Aneto"			"hamlet"				"22157000101"
"Ardanui"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455832901"	"Ardanuy"	"Q13048411"	"es:Ardanuy"	"hamlet"				"22157000299"
"Bono"	"Franja"	"Ribagorça"	"Montanui"	"node"	"255548643"	"Bono"			"hamlet"				"22157000499"
"Castanesa"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833065"	"Castanesa"			"hamlet"				"22157000501"
"Casterner de Noals"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833066"	"Castarné"			"hamlet"				"22157000601"
"Escaner"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833217"	"Escane"			"hamlet"				"22157000799"
"Estet"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833231"	"Estet"			"hamlet"				"22157000899"
"Fontjanina"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833235"	"Fonchanina"			"hamlet"				"22157000999"
"Forcat"	"Franja"	"Ribagorça"	"Montanui"	"node"	"2400207354"	"Forcat"	"Q11169536"	"ca:Forcat"	"hamlet"				"22157001099"
"Noals"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1346176426"	"Noales"	"Q11210455"	"ca:Noals"	"hamlet"				"22157001301"
"Ribera"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455833997"	"Ribera"			"isolated_dwelling"				"22157001499"
"Senyiu"	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455834407"	"Señiu"			"hamlet"				"22157001501"
"Vinyal"	"Franja"	"Ribagorça"	"Montanui"	"node"	"255548843"	"Viñal"			"hamlet"				"22157001699"
	"Franja"	"Ribagorça"	"Montanui"	"node"	"255548871"	"Ginast"			"hamlet"				"22157001101"
	"Franja"	"Ribagorça"	"Montanui"	"node"	"1346176427"	"Ervera"			"isolated_dwelling"				"22157001799"
	"Franja"	"Ribagorça"	"Montanui"	"node"	"1455832939"	"Benifonts"			"hamlet"				"22157000301"
"Montanyana"	"Franja"	"Ribagorça"	"Pont de Montanyana"	"node"	"287651335"	"Montañana"	"Q5642496"	"es:Montañana"	"hamlet"				"22188000101"
	"Franja"	"Ribagorça"	"Pont de Montanyana"	"node"	"1455834429"	"Torre Baro"			"hamlet"				"22188000399"
"Pallerol"	"Franja"	"Ribagorça"	"Sopeira"	"node"	"1455833721"	"Pallerol"			"hamlet"				"22223000301"
"Sant Orenç"	"Franja"	"Ribagorça"	"Sopeira"	"node"	"1455834348"	"Santoréns"			"hamlet"				"22223000101"
"L'Almúnia de Sant Llorenç"	"Franja"	"Ribagorça"	"Tolba"	"node"	"1455832883"	"Almunia de San Lorenzo"	"Q74260248"	"es:Almunia de San Lorenzo"	"hamlet"				"22229000101"
