"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"border_type"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Fenollet"	"CatNord"	"Fenolledès"	"22323"	"relation"	"Fenouillet"	"fr:Fenouillet (Pyrénées-Orientales)"	"Q747561"		"8"			"66077"
"Fossa"	"CatNord"	"Fenolledès"	"22367"	"relation"	"Fosse"	"fr:Fosse (Pyrénées-Orientales)"	"Q938751"		"8"			"66083"
"l'Esquerda"	"CatNord"	"Fenolledès"	"22223"	"relation"	"Lesquerde"	"fr:Lesquerde"	"Q1369371"		"8"			"66097"
"la Tor de França"	"CatNord"	"Fenolledès"	"22157"	"relation"	"Latour-de-France"	"fr:Latour-de-France"	"Q752258"		"8"			"66096"
"lançac"	"CatNord"	"Fenolledès"	"22224"	"relation"	"Lansac"	"fr:Lansac (Pyrénées-Orientales)"	"Q190130"		"8"			"66092"
"Maurí"	"CatNord"	"Fenolledès"	"22242"	"relation"	"Maury"	"fr:Maury (Pyrénées-Orientales)"	"Q579141"		"8"			"66107"
"Montalban lo Castèl"	"CatNord"	"Fenolledès"	"1919933"	"relation"	"Montalba-le-Château"	"fr:Montalba-le-Château"	"Q1093217"		"8"			"66111"
"Pesillà de Conflent"	"CatNord"	"Fenolledès"	"2816503"	"relation"	"Pézilla-de-Conflent"	"fr:Pézilla-de-Conflent"	"Q1369496"		"8"			"66139"
"Planeses"	"CatNord"	"Fenolledès"	"22208"	"relation"	"Planèzes"	"fr:Planèzes"	"Q197641"		"8"			"66143"
"Prats de Sornià"	"CatNord"	"Fenolledès"	"2816624"	"relation"	"Prats-de-Sournia"	"fr:Prats-de-Sournia"	"Q1377408"		"8"			"66151"
"Prunyanes"	"CatNord"	"Fenolledès"	"22315"	"relation"	"Prugnanes"	"fr:Prugnanes"	"Q1369092"		"8"			"66152"
"Rasigueres"	"CatNord"	"Fenolledès"	"22214"	"relation"	"Rasiguères"	"fr:Rasiguères"	"Q1445599"		"8"			"66158"
"Rebollet"	"CatNord"	"Fenolledès"	"2819158"	"relation"	"Rabouillet"	"fr:Rabouillet"	"Q199764"		"8"			"66156"
"Sant Martí de Fenollet"	"CatNord"	"Fenolledès"	"22368"	"relation"	"Saint-Martin-de-Fenouillet"	"fr:Saint-Martin-de-Fenouillet"	"Q1369281"		"8"			"66184"
"Sant Pau de Fenollet"	"CatNord"	"Fenolledès"	"22270"	"relation"	"Saint-Paul-de-Fenouillet"	"fr:Saint-Paul-de-Fenouillet"	"Q1369303"		"8"			"66187"
"Sornià"	"CatNord"	"Fenolledès"	"2819131"	"relation"	"Sournia"	"fr:Sournia"	"Q190346"		"8"			"66198"
"Trevillac"	"CatNord"	"Fenolledès"	"2406387"	"relation"	"Trévillach"	"fr:Trévillach"	"Q1350605"		"8"			"66215"
"Trillà"	"CatNord"	"Fenolledès"	"2816422"	"relation"	"Trilla"	"fr:Trilla"	"Q190062"		"8"			"66216"
"Virà"	"CatNord"	"Fenolledès"	"22365"	"relation"	"Vira"	"fr:Vira (Pyrénées-Orientales)"	"Q1174153"		"8"			"66232"
"Alenyà"	"CatNord"	"Rosselló"	"271664"	"relation"	"Alénya"	"fr:Alénya"	"Q450961"		"8"			"66002"
"Argelers"	"CatNord"	"Rosselló"	"18416"	"relation"	"Argelès-sur-Mer"	"fr:Argelès-sur-Mer"	"Q644728"		"8"			"66008"
"Bages de Rosselló"	"CatNord"	"Rosselló"	"273498"	"relation"	"Bages"	"fr:Bages (Pyrénées-Orientales)"	"Q955962"		"8"			"66011"
"Baixàs"	"CatNord"	"Rosselló"	"18479"	"relation"	"Baixas"	"fr:Baixas"	"Q1093092"		"8"			"66014"
"Banyuls de la Marenda"	"CatNord"	"Rosselló"	"18391"	"relation"	"Banyuls-sur-Mer"	"fr:Banyuls-sur-Mer"	"Q6753"		"8"			"66016"
"Banyuls dels Aspres"	"CatNord"	"Rosselló"	"23234"	"relation"	"Banyuls-dels-Aspres"	"fr:Banyuls-dels-Aspres"	"Q1072010"		"8"			"66015"
"Bao"	"CatNord"	"Rosselló"	"18478"	"relation"	"Baho"	"fr:Baho"	"Q1059798"		"8"			"66012"
"Bompàs"	"CatNord"	"Rosselló"	"18352"	"relation"	"Bompas"	"fr:Bompas (Pyrénées-Orientales)"	"Q1071937"		"8"			"66021"
"Brullà"	"CatNord"	"Rosselló"	"23237"	"relation"	"Brouilla"	"fr:Brouilla"	"Q199840"		"8"			"66026"
"Bula d'Amunt"	"CatNord"	"Rosselló"	"1919150"	"relation"	"Boule-d'Amont"	"fr:Boule-d'Amont"	"Q198134"		"8"			"66022"
"Bulaternera"	"CatNord"	"Rosselló"	"1919385"	"relation"	"Bouleternère"	"fr:Bouleternère"	"Q189957"		"8"			"66023"
"Cabestany"	"CatNord"	"Rosselló"	"18328"	"relation"	"Cabestany"	"fr:Cabestany"	"Q8970"		"8"			"66028"
"Calce"	"CatNord"	"Rosselló"	"1798944"	"relation"	"Calce"	"fr:Calce"	"Q530366"		"8"			"66030"
"Calmella"	"CatNord"	"Rosselló"	"27529"	"relation"	"Calmeilles"	"fr:Calmeilles"	"Q7963"		"8"			"66032"
"Cameles"	"CatNord"	"Rosselló"	"24940"	"relation"	"Camélas"	"fr:Camélas"	"Q188282"		"8"			"66033"
"Canet de Rosselló"	"CatNord"	"Rosselló"	"18350"	"relation"	"Canet-en-Roussillon"	"fr:Canet-en-Roussillon"	"Q380514"		"8"			"66037"
