"name:ca"	"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"	"ref:idescat"	"ref:ine"	"ref:INSEE"
"Prunyanes"	"CatNord"	"Fenolledès"	"Prunyanes"	"node"	"280941617"	"Prugnanes"			"village"					
"Rasigueres"	"CatNord"	"Fenolledès"	"Rasigueres"	"node"	"279001998"	"Rasiguères"			"village"					
"Rebollet"	"CatNord"	"Fenolledès"	"Rebollet"	"node"	"313778498"	"Rabouillet"			"village"					
"Sant Martí de Fenollet"	"CatNord"	"Fenolledès"	"Sant Martí de Fenollet"	"node"	"280991308"	"Saint-Martin-de-Fenouillet"			"village"					
"Sant Pau de Fenollet"	"CatNord"	"Fenolledès"	"Sant Pau de Fenollet"	"node"	"26694415"	"Saint-Paul-de-Fenouillet"	"Q1369303"	"fr:Saint-Paul-de-Fenouillet"	"village"					
"Sornià"	"CatNord"	"Fenolledès"	"Sornià"	"node"	"331995533"	"Sournia"			"village"					
"Trevillac"	"CatNord"	"Fenolledès"	"Trevillac"	"node"	"296070059"	"Trévillach"	"Q1350605"	"fr:Trévillach"	"village"					
"Trillà"	"CatNord"	"Fenolledès"	"Trillà"	"node"	"296068764"	"Trilla"			"village"					
"Virà"	"CatNord"	"Fenolledès"	"Virà"	"node"	"280986886"	"Vira"			"village"					
"Alenyà"	"CatNord"	"Rosselló"	"Alenyà"	"node"	"287542105"	"Alénya"	"Q450961"	"ca:Alenyà"	"village"	"8"				
"Argelers"	"CatNord"	"Rosselló"	"Argelers"	"node"	"26697672"	"Argelès-sur-Mer"	"Q644728"	"fr:Argelès-sur-Mer"	"town"	"8"				
"Bages"	"CatNord"	"Rosselló"	"Bages de Rosselló"	"node"	"26695971"	"Bages"	"Q955962"	"ca:Bages de Rosselló"	"village"	"8"				
"Baixàs"	"CatNord"	"Rosselló"	"Baixàs"	"node"	"26696878"	"Baixas"	"Q1093092"	"ca:Baixàs"	"village"	"8"				
"Banyuls de la Marenda"	"CatNord"	"Rosselló"	"Banyuls de la Marenda"	"node"	"26695122"	"Banyuls-sur-Mer"	"Q6753"	"fr:Banyuls-sur-Mer"	"village"	"8"				
"Banyuls dels Aspres"	"CatNord"	"Rosselló"	"Banyuls dels Aspres"	"node"	"282594149"	"Banyuls-dels-Aspres"	"Q1072010"	"fr:Banyuls-dels-Aspres"	"village"	"8"				
